Note: Component loadings for Components 1 and 2 after varimax rotation,,
Gene,Component 1,Component 2
ZNF56,0.555,-0.217
CCZ1B,-0.562,0.124
ZNF630,-0.755,-0.211
ZNF57,-0.471,0.155
RP9,-0.903,-0.015
H1FX,-0.626,-0.208
LOC653562,-0.64,-0.251
HIST1H2BK,0.665,-0.562
HIST1H2BL,0.713,0.174
HIST1H2BI,0.687,-0.175
TIGD2,-0.418,0.113
TIGD3,-0.691,-0.089
TIGD4,-0.31,-0.2
H1F0,-0.165,0.688
ZNF641,-0.633,0.368
ZNF45,0.214,0.132
ZNF642,0.608,-0.394
ZNF48,0.35,0.42
RPS18,0.456,-0.562
RPS19,-0.082,-0.752
RPS17,0.2,-0.136
RPS10,0.253,-0.799
ZNF79,-0.547,-0.229
HLA-DRB1,-0.285,-0.673
ZNF77,-0.396,0.574
HLA-DRB3,-0.093,-0.607
RTP1,0.541,-0.484
RPS27,-0.304,-0.232
RPS29,0.05,-0.284
HLA-DRB4,0.32,-0.327
RPS20,-0.076,-0.561
RCHY1,-0.376,-0.85
ARHGEF10L,-0.804,0.085
RPS23,-0.349,-0.662
RPS24,0.192,-0.115
GPD2,0.431,-0.615
GPD1,0.341,-0.264
LOC100134173,-0.538,0.568
ZNF620,-0.564,0.554
ZNF629,-0.911,-0.21
CMYA5,-0.695,0.568
STOX1,0.161,-0.758
ENOX2,0.136,-0.867
RP1-21O18.1,-0.482,0.127
ZNF10,-0.657,-0.025
ZNF673,-0.011,-0.683
STOX2,-0.762,0.259
RTN2,-0.304,0.208
ZNF677,0.474,-0.111
ZNF683,0.527,0.207
KIAA1033,-0.867,-0.123
KRT222,-0.363,0.164
LOC653513,-0.429,-0.822
MBLAC2,-0.317,-0.843
CMKLR1,-0.345,0.091
MICAL2,-0.399,0.545
MICAL3,-0.793,-0.013
ZNF684,-0.586,0.547
UMODL1,-0.404,0.627
ZNF692,-0.887,-0.032
KIAA1024,0.402,-0.705
CAND2,-0.358,-0.192
ENOX1,0.319,-0.77
ZNF35,-0.707,0.442
ZNF655,-0.834,0.144
ZNF654,-0.781,0.182
ZNF34,-0.68,0.1
ZNF653,-0.486,0.164
ZNF30,-0.018,0.761
GPHN,-0.762,0.218
HIST1H2BC,0.815,-0.022
HIST1H2BH,0.771,-0.257
ZNF667,0.109,-0.514
ZNF25,-0.829,-0.415
ZNF26,-0.388,-0.583
ZNF20,-0.3,0.469
ZNF662,-0.555,0.327
ZNF670,-0.709,0.324
ZNF672,0.226,0.679
KIAA1045,0.66,0.108
BATF,0.464,0.116
RGN,-0.311,-0.745
LOC389787,-0.308,-0.48
RET,-0.742,0.43
LDOC1L,0.119,-0.712
PLK1S1,-0.905,-0.134
HSPB9,-0.056,0.595
HSPB6,-0.216,0.375
RFK,0.254,-0.659
HSPB8,-0.228,-0.088
HSPB2,-0.151,0.156
HSPB1,0.718,-0.149
HSPB3,0.518,-0.51
BAT1,-0.545,-0.004
GMPPB,0.068,-0.453
ZNF697,-0.306,0.022
GMPPA,-0.029,-0.518
SH3TC1,0.66,-0.027
RHO,-0.605,0.328
FOSL2,-0.742,0.336
GPC4,0.636,-0.608
GPC5,0.687,-0.445
GPC2,0.493,0.174
GPC3,0.15,-0.109
GPC6,0.371,-0.666
SLC9A3R1,0.428,-0.547
LOC150519,0.318,-0.763
TREM2,0.058,-0.672
STON2,0.741,-0.4
STON1,-0.736,0.017
HSPA4,0.131,-0.153
NEDD4L,0.001,-0.795
HSPA5,-0.026,-0.285
FAM7A3,-0.257,-0.852
TMEM45A,-0.293,-0.757
B4GALNT1,0.221,-0.203
TMEM45B,0.118,0.511
RLTPR,-0.686,-0.486
SMPD1,-0.058,-0.718
SMPD3,0.022,0.576
SMPD2,0.183,-0.758
RAD51C,-0.669,0.164
SYT4,0.455,-0.22
SYT5,0.627,-0.192
SYT2,-0.556,0.625
SYT3,-0.492,0.324
SYT9,0.317,-0.649
SYT6,-0.361,0.32
DCPS,-0.717,0.121
BAK1,-0.825,-0.172
GOT1,-0.689,0.011
HOMER3,-0.678,0.279
BRP44,-0.413,0.183
SUCLG2,0.564,-0.407
TPI1P2,0.263,-0.717
SAG,0.544,-0.259
TTPAL,0.417,-0.783
MLEC,-0.077,-0.929
TBRG1,-0.784,-0.028
LAMC1,-0.492,0.042
LAMB3,-0.483,-0.48
BAI2,0.082,-0.557
BAI3,-0.135,-0.863
LAMB1,0.242,-0.634
LCMT1,0.115,-0.638
MLC1,0.508,-0.533
SCD,-0.059,-0.509
PTPN14,-0.46,0.223
RAD54L,-0.728,-0.255
LAMA2,-0.565,-0.445
LAMA1,0.576,-0.606
LAMA4,-0.719,0.337
LAMA3,-0.472,0.483
SFRP1,0.155,-0.635
SFRP2,0.378,-0.39
DCP2,0.21,-0.389
RAD54B,-0.776,0.5
MCHR1,0.605,-0.033
MCHR2,0.151,-0.017
CANT1,0.395,-0.632
BAG3,0.195,-0.749
BAG2,-0.144,-0.844
SLC25A3,-0.7,-0.015
LOC100240735,0.583,-0.249
LOC100240734,-0.802,-0.335
SLC25A5,-0.913,-0.092
HERC6,-0.145,0.122
LGALS12,0.052,0.476
HERC5,0.268,-0.737
LGALS13,0.678,-0.043
HERC3,-0.832,-0.212
FAM76B,-0.736,0.416
ECSIT,-0.735,0.08
LOC100290585,0.379,-0.401
GULP1,0.135,-0.674
CLDN10,0.613,-0.595
CLDN12,-0.593,0.231
MLF1,0.013,-0.467
LOC646936,-0.108,0.224
IPCEF1,-0.777,-0.058
THBS3,-0.823,-0.218
THBS4,0.085,-0.487
LCN15,0.513,0.249
LCN12,0.599,-0.389
CLDN20,0.175,0.004
FAM78A,-0.565,0.417
FAM78B,-0.423,0.372
JMJD6,-0.309,-0.043
JMJD4,0.531,-0.305
LOC283143,0.32,-0.626
UBQLN4,-0.47,0.149
UBQLN2,0.044,0.215
MLL5,-0.689,0.419
FAM73B,-0.151,0.47
NQO1,0.293,-0.66
AC109486.1,0.197,0.233
FAM82A1,-0.73,0.096
CDKL1,-0.585,0.574
PAMR1,0.367,-0.737
MRPL45P2,0.39,-0.347
C10orf105,0.033,-0.617
C10orf107,-0.141,-0.802
RASAL2,-0.524,-0.263
RASAL1,0.374,-0.834
RASAL3,0.392,-0.651
AC069234.1,0.533,-0.671
C10orf118,-0.773,0.081
C10orf116,0.203,-0.788
C10orf128,-0.502,-0.139
MLPH,0.286,0.528
C10orf125,0.824,0.202
MTSS1L,0.711,-0.175
HPSE,-0.521,0.665
GOPC,-0.484,0.459
ABHD13,-0.875,-0.038
ABHD12,-0.93,-0.206
RS1,0.443,-0.491
RSU1,-0.301,-0.76
C10orf134,0.08,0.167
RUNX1T1,0.166,-0.192
AC132186.2,-0.087,0.359
ZNF711,-0.313,0.622
ZNF710,-0.045,-0.46
ZNF706,-0.209,-0.739
NPAS1,-0.469,0.049
NPAS2,0.516,0.058
SYN3,-0.707,0.237
SYN2,0.844,-0.231
ZNF701,0.645,0.13
C10orf140,-0.568,0.485
DCTD,-0.366,-0.86
SLC10A4,-0.354,-0.252
BAALC,0.513,0.089
SLC10A5,-0.617,0.274
SLC10A2,-0.259,0.15
MLNR,0.659,-0.337
SYNM,-0.26,-0.241
FAM70B,0.177,0.545
KIAA0319,0.026,-0.378
FAM70A,0.367,-0.744
RBPMS2,0.119,0.323
KIAA1797,-0.4,0.739
RADIL,-0.472,0.455
DHX33,-0.774,0.129
ZNF395,-0.236,0.019
DHX35,-0.894,-0.021
ZNF394,-0.618,0.511
RAB27B,0.675,-0.632
ZNF391,-0.273,-0.163
UNC84A,-0.674,0.416
ERMAP,0.325,-0.61
PTRF,-0.545,0.006
JUN,0.301,-0.802
ZNF383,-0.69,0.255
HSD17B11,-0.742,-0.342
CYP1B1,-0.117,-0.075
HSD17B14,0.535,-0.677
HSD17B13,-0.465,0.17
ATP12A,0.164,0.773
JRK,-0.426,0.484
ARIH2,-0.903,-0.149
SERF2,-0.02,-0.557
DHX58,-0.019,-0.915
ZNF398,-0.687,0.177
ZC3H15,-0.329,-0.808
ZC3H18,-0.23,0.315
CUGBP1,-0.415,-0.023
CUGBP2,-0.472,0.605
C17orf108,0.465,-0.684
KCNQ1DN,0.286,0.065
HPCA,0.677,-0.151
NXPE3,-0.576,0.457
C17orf100,-0.814,-0.378
TSGA14,-0.649,0.043
ATP10A,-0.661,0.146
GPLD1,-0.82,0.489
RP11-422J8.1,-0.472,0.676
AP003115.1,-0.778,0.1
ZNF347,0.098,0.287
RNF181,0.633,-0.463
KRT33A,0.58,0.134
YBX2,0.512,0.193
KRT33B,0.629,-0.434
ZNF350,0.512,-0.655
SLC22A4,-0.386,-0.639
SLC22A3,0.063,-0.287
SLC22A5,-0.623,0.161
ALS2CL,-0.322,-0.306
MRPL4,-0.538,-0.588
ZNF33A,-0.436,0.46
SLC22A9,-0.063,0.02
ZC3H7B,-0.624,0.251
RNF175,-0.052,-0.599
IL6R,-0.674,0.35
ZNF333,-0.515,0.63
KLHDC9,-0.592,-0.474
FMN1,-0.506,0.637
KLHDC6,-0.862,0.085
MTRF1,-0.926,-0.164
KIAA1772,-0.292,-0.143
FMOD,-0.129,-0.411
KIAA1731,-0.279,0.581
ZNF365,-0.794,0.257
IL7R,-0.341,0.694
SF3B3,-0.32,-0.665
PET112L,0.002,-0.418
SORBS3,-0.544,0.497
SORBS2,0.252,-0.744
PTX3,-0.798,0.063
PAPSS2,-0.338,0.415
TMEM9,-0.263,-0.881
TMEM5,-0.14,-0.754
ZNF358,-0.387,0.507
TMEM2,-0.258,-0.682
DUSP3,0.389,-0.391
DUSP2,-0.074,-0.645
ZNF362,-0.582,0.251
RAB22A,-0.037,-0.397
LRP8,-0.123,0.069
GK3P,-0.341,0.686
LRP2,-0.049,-0.146
DUSP9,0.446,-0.652
CWC22,-0.812,0.005
DUSP8,-0.509,0.396
HPGD,0.161,-0.375
LRP4,0.453,-0.355
DUSP7,0.178,0.899
DUSP6,0.507,0.119
CCIN,0.601,-0.168
IL18,-0.052,-0.738
IL13,-0.125,0.48
IL15,-0.275,-0.514
ZNF304,-0.846,-0.223
RNF141,-0.132,-0.479
ZNF300,-0.588,-0.047
IL1B,0.019,-0.742
AC093310.1,0.366,-0.597
AC116165.2,0.08,0.254
RNF148,-0.497,0.791
SAMD4A,0.171,-0.69
LOC283174,-0.923,-0.033
BAIAP3,0.422,-0.805
BAIAP2,0.287,-0.66
MIR7-3HG,0.746,-0.324
RNASEH2A,0.333,-0.806
BICD1,-0.275,0.526
RNASEH2C,0.561,-0.683
RNF133,-0.019,0.826
LRAT,0.446,-0.359
SMARCA1,-0.176,-0.643
CCL1,-0.212,0.661
C11orf1,0.241,-0.623
IL33,0.676,-0.657
CCL5,0.528,0.11
IL34,0.318,-0.845
ZNF322,-0.547,0.144
ZNF323,-0.78,0.203
RNF165,0.139,-0.152
RHOXF2,0.171,0.66
CCM2,-0.335,-0.525
PABPCP5,0.029,0.434
LOC442381,0.457,0.54
TRAF3IP2,0.452,-0.374
EPS15,-0.847,-0.038
TRAF3IP1,-0.737,0.299
RNF150,0.65,-0.659
RNF152,0.124,0.374
TRAF3IP3,0.212,-0.747
RNF157,-0.54,0.648
NXPH3,-0.19,0.68
IGDCC4,-0.021,-0.624
NRG4,-0.682,0.102
IGDCC3,-0.067,0.726
SLC45A4,-0.434,0.781
NXPH4,0.577,-0.321
LRDD,-0.816,-0.304
GABBR1,0.107,-0.753
OSR1,0.677,-0.455
DDA1,-0.189,-0.743
NRG1,-0.337,0.253
NXPH1,0.578,-0.357
DCAF13P3,-0.904,0.025
DDB1,-0.486,-0.822
DDB2,-0.69,-0.494
NRGN,0.194,0.541
ATPAF1,-0.541,0.391
BRSK2,-0.108,0.59
BRSK1,-0.719,0.246
OSTN,0.389,0.363
ARID2,-0.903,-0.191
RNF126,-0.421,-0.314
AC135983.8,-0.653,0.408
RNF128,-0.011,-0.207
RNF121,0.128,0.037
EHD2,-0.118,0.793
SAMD12,-0.662,0.412
SAMD13,-0.414,0.202
SAMD14,0.468,-0.26
SAMD15,0.629,-0.491
TMED9,-0.133,-0.548
RNF112,-0.679,-0.097
HSP90B1,-0.142,-0.869
IQCF2,0.059,0.209
RNF115,-0.761,-0.384
IQCF3,0.756,-0.276
CD52,0.515,-0.348
CD53,0.05,-0.506
MEGF11,0.356,-0.54
CD44,0.008,-0.413
RPL13P5,0.152,0.422
TXNL1,-0.138,-0.588
GJD2,0.288,0.087
GJD4,0.002,0.241
GJD3,0.675,-0.111
LOC84989,0.517,-0.246
APOLD1,-0.689,-0.206
CCRK,0.433,0.278
CD38,0.613,-0.212
CD36,0.16,-0.775
CD33,0.477,-0.576
C6orf191,0.425,-0.142
MGC45800,-0.088,-0.672
ERMP1,-0.299,0.623
PTPLAD2,0.428,-0.785
CD70,-0.333,0.462
NRN1,-0.594,0.383
CD74,-0.063,-0.456
CD68,0.51,-0.361
STX12,-0.13,-0.831
STX19,-0.652,0.443
CD69,-0.151,-0.289
C6orf186,-0.525,0.703
IKZF5,0.104,-0.435
IKZF1,0.672,-0.17
TP53BP2,0.33,-0.692
TP53BP1,0.01,-0.798
C6orf167,-0.762,0.359
DDX1,-0.629,-0.358
KLHDC8B,0.514,-0.755
AARSD1,-0.519,-0.425
LOC442308,-0.013,-0.921
CD63,0.261,-0.876
DDX4,-0.431,0.368
KDR,-0.435,-0.248
METTL13,-0.603,-0.404
CCT5,-0.336,-0.88
METTL14,-0.733,0.167
RNF208,-0.23,0.476
KLHDC8A,0.298,-0.33
CD59,-0.784,-0.443
C6orf173,0.595,-0.739
METTL10,-0.811,-0.057
CD58,-0.112,-0.492
HOPX,0.036,-0.722
CHAF1A,-0.758,-0.388
CHAF1B,-0.356,-0.783
NRP2,0.635,-0.136
GJA9,-0.303,0.116
JPH4,0.157,-0.698
NRP1,0.244,-0.303
SPINK2,0.252,0.515
GJA1,0.744,-0.447
GJA4,-0.301,-0.418
SPINK5,0.021,0.57
SPINK8,-0.322,0.32
PTER,-0.2,-0.887
SPINK9,0.65,-0.21
CCNY,-0.142,-0.869
RP11-446H18.3,-0.108,-0.561
CCNO,-0.744,0.189
VWA2,-0.038,0.602
AASDH,-0.519,0.256
STX1A,0.738,-0.171
CCNI,-0.86,0.367
CCNH,-0.072,-0.898
RAD52,-0.543,0.626
METTL2B,-0.196,-0.061
STX1B,-0.075,0.779
C1orf2,-0.48,-0.189
IQCA1,0.284,-0.672
FLJ37798,-0.713,-0.179
SERP1,0.418,-0.646
CXCL1,0.244,-0.601
THAP8,0.524,-0.574
PYCRL,0.464,-0.77
THAP3,-0.328,0.282
CXCL3,0.7,-0.152
CCR1,0.778,-0.176
CXCL2,0.08,-0.434
GPM6B,0.479,-0.447
FAM120AOS,0.485,-0.205
SAMD9L,0.493,-0.481
GJC1,-0.105,0.711
GPM6A,0.597,-0.335
FLJ38379,0.466,-0.743
TYW1,-0.349,-0.676
VWC2,-0.432,0.76
THAP1,-0.441,0.545
THAP2,-0.706,0.026
CD24,0.547,-0.633
POPDC3,-0.615,-0.353
VWCE,0.55,-0.085
GJB5,0.215,-0.022
GJB1,-0.514,-0.055
PTCH1,0.582,-0.414
C6orf120,-0.79,-0.054
F13A1,0.188,0.09
RASGEF1B,0.319,0.383
RASGEF1A,-0.117,-0.549
RASGEF1C,0.891,-0.139
VWDE,-0.737,-0.187
C6orf118,0.429,-0.641
C6orf115,-0.855,0.079
METTL7A,0.46,-0.352
METTL7B,0.358,0.077
BCAP31,-0.39,-0.737
PYCR1,0.599,-0.495
C6orf108,0.502,-0.431
RAD18,-0.227,-0.212
KIAA1712,-0.74,0.176
C6orf105,0.548,-0.555
C6orf106,-0.757,0.34
C6orf100,0.356,0.155
FGFR1,0.452,-0.373
FGFR3,0.525,-0.539
KMO,-0.451,0.131
C1orf9,-0.008,-0.233
UBE2QL1,-0.685,-0.513
KLHDC10,-0.429,-0.395
SPC25,0.375,-0.672
POM121L8P,0.226,-0.142
ZNF876P,-0.065,-0.385
HISPPD2A,-0.805,-0.001
ZZEF1,-0.548,0.456
DDR2,0.048,-0.62
CXCR7,0.687,-0.233
C6orf154,0.361,-0.62
CLINT1,0.095,-0.519
ZC3H10,-0.509,0.369
MRPS5,-0.621,0.318
MRPS6,-0.045,-0.776
NRIP2,-0.701,0.018
NRIP1,-0.579,0.351
CD84,0.623,-0.521
CD83,0.234,-0.871
CD86,0.368,-0.612
MRPS9,-0.207,-0.552
CPAMD8,0.639,-0.497
PANK1,-0.621,0.554
CD81,0.195,-0.675
AP000751.3,-0.47,0.437
SGK494,-0.44,0.555
GLIS3,0.277,-0.399
GLIS1,-0.454,0.066
TRIB3,0.326,-0.429
C6orf142,0,-0.622
SGK493,-0.66,-0.108
TRIB1,-0.097,-0.744
C6orf138,-0.243,0.752
C6orf136,-0.683,-0.446
LOC441204,-0.585,-0.674
DYDC2,0.409,-0.859
NACC1,0.36,-0.51
CD99,0.355,-0.567
SAP30BP,0.462,-0.625
AC044839.2,0.548,-0.771
C6orf126,0.638,-0.293
C6orf129,0.556,-0.655
PFTK1,-0.573,0.622
LSM7,-0.159,-0.848
CYP2D6,0.113,-0.756
GOLGA8C,-0.754,0.406
GIT2,-0.693,0.443
LSM4,0.114,-0.897
LSM3,0.18,-0.866
GOLGA8A,-0.619,0.199
YARS,-0.757,0.122
RP11-445H22.3,-0.61,-0.127
AC135995.5,-0.787,-0.042
SPAG1,-0.872,0.194
CYP2E1,-0.657,0.065
SPAG8,-0.86,-0.33
SPAG6,-0.535,0.587
SPAG5,-0.831,-0.207
SPAG4,-0.552,0.464
ZZZ3,0.419,-0.288
DBNDD1,-0.053,0.081
OTOS,0.617,-0.465
NPHP4,-0.876,-0.171
NPHP1,0.213,-0.329
GIT1,0.4,-0.492
ZNF497,-0.171,-0.814
ZNF498,-0.623,-0.347
GOLGA7B,-0.226,0.082
AC008806.1,-0.634,0.241
KCNK15,-0.306,0.287
KIAA1614,-0.706,0.037
KCNK13,0.803,-0.346
KCNK12,-0.182,0.736
KCNK10,-0.591,-0.188
DLEU7,0.715,-0.053
DLEU1,0.189,-0.622
SLC23A2,-0.299,0.004
RP5-820A21.1,0.14,-0.529
ZNF491,-0.387,0.284
FBXL12,-0.799,-0.236
FBXL13,0.305,-0.647
ZNF490,-0.69,0.041
FBXL15,-0.17,-0.442
ZNF496,-0.752,0.157
FBXL16,0.002,-0.651
USH2A,-0.392,0.711
CDC7,-0.059,0.65
SYMPK,-0.791,-0.262
CDC6,0.413,-0.188
CDC2,0.604,-0.104
EXOSC7,-0.365,-0.814
FBXL20,-0.633,0.017
EXOSC4,0.666,-0.176
AC010087.3,0.631,-0.174
CSN1S1,-0.014,-0.071
FLNA,-0.031,-0.63
OTOF,0.263,-0.497
USH1C,-0.519,0.11
TMSB4X,0.072,-0.922
PEG3AS,-0.513,0.519
ZNF480,0.509,-0.163
FBXL22,0.136,0.276
CXXC11,0.645,-0.676
NSD1,-0.749,-0.06
ZNF467,0.298,-0.191
MREG,-0.587,0.394
CRISPLD1,-0.615,0.382
WIPF2,-0.701,-0.529
RAB11A,-0.293,-0.816
WIPF3,-0.134,0.328
ZNF454,-0.23,0.479
KIAA1644,0.648,-0.68
ZFP3,0.059,0.828
FAAH2,-0.652,-0.251
AC011479.2,-0.074,-0.865
LSP1,0.59,-0.301
SLC44A2,0.065,-0.705
SLC44A3,0.4,-0.624
SLC44A5,-0.478,0.525
EBNA1BP2,-0.396,-0.578
DPY30,-0.414,-0.566
B3GALNT1,0.501,-0.645
B3GALNT2,-0.879,0.267
ZNF442,-0.381,0.175
ZNF449,0.253,-0.655
ZNF441,-0.534,-0.16
TMSB10,0.509,-0.792
CDO1,-0.21,-0.883
LRPPRC,-0.766,0.166
ZNF436,0.735,-0.241
CCRN4L,0.177,-0.245
PANX1,0.28,-0.141
TNFRSF12A,-0.042,0.081
PANX2,-0.443,0.525
MRAS,0.509,-0.622
SND1-IT1,-0.51,0.02
PYDC1,0.63,-0.642
SESN2,-0.744,-0.212
PYDC2,0.112,-0.076
SESN3,0.639,-0.343
ZNF423,0.117,0.004
OVGP1,-0.651,0.293
MRC2,0.497,-0.058
TNFRSF13C,0.664,-0.265
LMCD1,0.566,0.03
WIPI1,-0.681,-0.298
LAT,-0.805,-0.03
RHBDL2,-0.545,-0.306
RHBDL3,-0.92,0.33
PABPC1L,0.516,-0.387
LBH,-0.371,-0.362
ZNF407,-0.558,0.507
CDK5RAP3,-0.418,0.427
CDK5RAP2,-0.456,0.11
YAP1,0.55,-0.129
KNG1,-0.742,0.46
CDK5,-0.211,-0.797
PURB,-0.541,0.553
PURA,-0.87,0.218
KNCN,0.856,-0.164
CDH2,-0.241,0
PRDM16,0.057,-0.543
CDH3,-0.152,-0.455
CDH4,0.311,-0.873
CDH6,-0.146,0.091
CDH8,0.345,-0.777
CDH7,-0.599,0.612
LOC442249,0.61,0.354
CDH9,0.51,-0.669
TYW1B,-0.373,0.344
RPS10P7,0.034,-0.62
FLT1,-0.569,0.39
FLT3,-0.612,0.566
SLC12A5,-0.283,0.666
RDH12,0.047,-0.024
CXorf1,-0.107,-0.514
RDH10,0.711,-0.374
H2AFY2,-0.653,0.309
RDH14,0.556,-0.184
ATP1B1,-0.561,0.373
ATP1B3,-0.846,0.243
PITPNB,0.144,-0.681
SPDYE5,-0.703,-0.114
PRIM1,-0.778,0.135
LILRA1,0.363,-0.418
LILRA3,0.698,-0.169
SLC12A8,-0.156,0.601
LILRB1,0.521,-0.383
LILRB2,0.068,-0.685
ASPHD2,-0.083,-0.598
CX3CR1,0.734,-0.354
LILRB4,0.08,-0.68
ASPHD1,-0.096,-0.227
TXN2,-0.198,-0.858
ADRBK2,-0.443,0.044
DEXI,-0.777,0.262
HNMT,-0.062,-0.566
TCTN1,0.086,-0.727
TCTN2,-0.312,0.358
DLEC1,0.023,-0.038
CDT1,0.474,-0.132
TNFRSF11A,0.759,-0.114
NT5M,-0.768,0.207
ZFAT,-0.626,0.534
CDS1,-0.78,0.492
SLIT1,0.573,-0.746
SLIT2,-0.755,-0.179
NOC2L,-0.678,-0.11
SLIT3,0.654,-0.631
CTNNBIP1,0.194,-0.741
TNFRSF10B,0.447,-0.584
LYZL4,0.551,-0.675
SRCAP,-0.421,0.184
FAM98B,0.037,0.717
FAM98A,0.412,-0.367
FAM98C,-0.359,-0.55
STARD10,-0.367,0.554
STARD13,-0.587,0.123
VWC2L,0.297,0.483
PRINS,-0.432,0.169
TRHDE,-0.714,0.175
AC138894.3,0.574,-0.081
ATP1A3,-0.36,0.552
ATP1A4,-0.613,0.439
ATP1A1,-0.756,0.139
YAF2,0.244,-0.413
CDON,0.093,0.801
BRP44L,-0.729,0.312
LOR,0.663,-0.551
FGF18,-0.353,0.71
MALAT1,-0.691,0.316
ZC3HAV1,0.82,-0.134
FGF14,-0.589,0.652
FGF17,-0.136,0.67
LRTM2,-0.194,0.29
FGF10,0.449,0.429
FGF13,-0.001,0.74
FGF12,-0.847,-0.383
LPA,0.372,-0.625
TIAM2,-0.808,0.245
TIAM1,-0.754,0.324
LOX,-0.034,0.38
NEGR1,-0.552,0.392
FUT11,0.209,0.792
FGF22,0.435,0.058
GTF2IRD1,-0.385,-0.088
RIPK3,-0.633,0.068
RIPK2,0.483,-0.69
DERL2,-0.201,-0.883
LST1,0.473,-0.566
DERL1,-0.388,-0.71
MRS2,-0.653,0.531
AC008449.1,-0.136,0.532
SFTPD,0.188,-0.831
KIAA1609,0.434,-0.163
SFTPC,-0.625,-0.244
LPL,-0.178,-0.484
RP11-566K11.2,0.323,-0.85
LPP,0.085,-0.65
MRRF,-0.862,0.038
TXNDC11,-0.528,-0.479
TXNDC17,-0.517,-0.618
AC012652.1,0.512,-0.205
DPY19L3,-0.379,-0.129
DPY19L2,-0.908,0.168
DPY19L1,-0.563,-0.088
LTB,-0.298,0.693
EGR1,-0.245,0.72
EGR2,-0.016,0.523
OSGEPL1,-0.819,0.29
RP11-90D4.2,-0.391,-0.723
DAPK3,-0.624,-0.159
ECHS1,0.089,-0.838
GATSL3,0.259,-0.677
CDYL,-0.916,-0.018
LTK,-0.206,-0.404
CPPED1,-0.688,-0.358
ISOC1,0.455,-0.724
SPARC,0.239,-0.711
ATXN7L3,-0.479,-0.166
ATXN7L2,-0.672,0.019
TMEM141,0.192,-0.484
TMEM140,-0.64,-0.051
CDH22,-0.039,-0.224
TMEM145,-0.017,0.834
ARMC10P1,0.061,-0.93
TMEM14C,-0.045,0.603
TMEM14A,-0.649,-0.003
AC005152.2,0.583,-0.537
MTPAP,-0.902,-0.262
TMEM130,0.15,-0.892
TMEM133,0.353,-0.509
TMEM139,-0.296,-0.029
RYR3,0.49,-0.598
RYR1,0.506,-0.359
RYR2,-0.545,0.541
MOB2,-0.665,0.026
ZNF133,-0.607,0.382
CHCHD1,-0.135,-0.343
ZNF131,-0.197,0.499
ZSCAN5A,0.451,-0.36
BCL2L2,-0.178,0.317
CHCHD5,0.713,-0.192
CHCHD4,-0.607,-0.605
CHCHD6,0.472,-0.783
PDSS1,-0.65,0.482
ZSCAN5B,-0.252,0.077
LOC407835,-0.505,-0.516
KRTAP10-1,-0.667,-0.353
TMEM127,-0.755,0.201
TMEM125,-0.3,-0.332
RCCD1,-0.582,-0.002
ZNF124,-0.666,-0.015
LOC441052,0.239,-0.89
MOBP,-0.519,-0.367
HMGN2P15,-0.362,-0.564
EMILIN2,-0.334,0.468
EMILIN3,-0.093,0.716
TMEM117,-0.039,-0.473
CACHD1,0.323,-0.762
SLC20A1,-0.853,0.114
LXN,-0.299,-0.202
SLC20A2,-0.79,-0.049
SFTA1P,0.365,-0.306
TMEM109,-0.913,-0.155
TMEM108,0.614,-0.569
ZNF148,-0.661,0.406
TMEM100,0.301,-0.106
TMEM107,-0.287,-0.71
LYN,0.505,-0.503
ZNF143,-0.803,-0.205
INHBB,0.688,-0.311
INHBA,-0.382,0.383
ZNF136,-0.664,0.339
ZSCAN18,0.261,-0.728
ZSCAN12,-0.816,0.228
ZNF177,0.696,-0.173
ZNF175,-0.889,-0.089
KIAA1539,0.394,0.058
ZSCAN20,0.025,0.123
ZSCAN23,-0.156,0.699
ZSCAN29,-0.652,0.357
SPTY2D1,-0.097,-0.764
ZNF165,-0.76,0.415
CDH12,-0.399,0.444
CDH13,0.5,-0.251
CDH18,-0.141,0.015
KATNAL1,-0.537,-0.472
KATNAL2,-0.352,-0.566
CDH10,0.511,-0.74
CDH11,0.506,-0.515
RAB9B,-0.437,-0.275
AC130454.1,0.482,-0.179
DFFB,-0.849,-0.052
MGP,-0.141,-0.236
ME1,-0.011,-0.696
ME3,0.083,-0.716
ME2,-0.308,-0.872
MDK,0.04,-0.843
OIP5-AS1,-0.771,0.497
SLC35F1,-0.048,-0.147
SLC35F2,0.791,-0.16
SLC35F3,-0.78,0.216
SLC35F4,-0.603,0.436
HELLS,0.073,0.581
EHMT1,-0.569,0.516
RAB8B,0.008,-0.851
UBXN10,-0.392,0.274
KIAA1586,-0.867,-0.155
MET,-0.203,0.404
NTN4,-0.474,0.152
PTTG1IP,0.493,-0.21
FABP3,0.85,-0.17
FABP1,0.496,-0.52
SLC35G4,-0.342,0.066
FABP7,0.546,-0.777
FABP5,0.24,-0.809
FABP6,0.267,-0.564
HMSD,-0.145,0.351
AMMECR1,-0.787,0.416
MBP,-0.738,0.068
CASP3,-0.77,0.181
WISP2,0.041,-0.595
MAZ,0.563,-0.231
AC068353.1,-0.281,0.735
CASP1,-0.018,-0.844
CNTLN,-0.791,-0.082
CASP2,-0.746,-0.032
SLC43A1,-0.614,-0.321
SLC43A2,-0.595,0.361
PTGER1,0.523,0.094
PTGER3,0.788,-0.478
CNTN5,-0.204,0.255
PTGER4,0.612,-0.623
CNTN6,0.402,-0.178
SLC35E4,-0.357,0.415
